2022-11-09 14:45:41,669 >> 'k'
2022-11-09 14:45:41,677 >> 'k'
2022-11-09 14:45:41,698 >> 'a'
2022-11-09 14:45:41,824 >> 'k'
2022-11-09 14:45:41,957 >> 'k'
2022-11-09 14:45:41,957 >> 'k'
2022-11-09 14:45:42,560 >> Key.backspace
2022-11-09 14:45:42,749 >> Key.backspace
2022-11-09 14:45:42,908 >> Key.backspace
2022-11-09 14:45:42,908 >> Key.backspace
2022-11-09 14:45:43,035 >> Key.backspace
2022-11-09 14:45:43,150 >> Key.backspace
2022-11-09 14:45:43,150 >> Key.backspace
2022-11-09 14:45:43,287 >> Key.enter
2022-11-09 14:45:43,287 >> Key.enter
2022-11-09 14:45:43,287 >> Key.backspace
2022-11-09 14:45:43,287 >> Key.backspace
2022-11-09 14:45:44,094 >> 'h'
2022-11-09 14:45:44,094 >> 'h'
2022-11-09 14:45:44,221 >> 'a'
2022-11-09 14:45:44,301 >> 'l'
2022-11-09 14:45:44,301 >> 'l'
2022-11-09 14:45:44,444 >> 'l'
2022-11-09 14:45:44,444 >> 'l'
2022-11-09 14:45:44,610 >> 'o'
2022-11-09 14:45:44,611 >> 'o'
2022-11-09 14:45:44,761 >> Key.space
2022-11-09 14:45:44,761 >> Key.space
2022-11-09 14:45:44,973 >> 'w'
2022-11-09 14:45:44,973 >> 'w'
2022-11-09 14:45:45,038 >> 'e'
2022-11-09 14:45:45,038 >> 'e'
2022-11-09 14:45:45,113 >> 'l'
2022-11-09 14:45:45,113 >> 'l'
2022-11-09 14:45:45,307 >> 't'
2022-11-09 14:45:45,307 >> 't'
2022-11-09 14:45:45,428 >> Key.enter
2022-11-09 14:45:45,428 >> Key.enter
2022-11-09 14:45:57,951 >> Key.enter
2022-11-09 14:45:57,951 >> Key.enter
2022-11-09 14:47:38,952 >> 'c'
2022-11-09 14:47:38,952 >> 'c'
2022-11-09 14:47:39,151 >> 'r'
2022-11-09 14:47:39,277 >> 'a'
2022-11-09 14:47:39,285 >> 'a'
2022-11-09 14:47:39,466 >> 'c'
2022-11-09 14:47:39,466 >> 'c'
2022-11-09 14:47:39,562 >> 'k'
2022-11-09 14:47:39,562 >> 'k'
2022-11-09 14:47:39,657 >> 'e'
2022-11-09 14:47:39,657 >> 'e'
2022-11-09 14:47:39,845 >> 'd'
2022-11-09 14:47:39,845 >> 'd'
2022-11-09 14:47:40,269 >> '.'
2022-11-09 14:47:40,261 >> '.'
2022-11-09 14:47:40,926 >> Key.right
2022-11-09 14:47:40,926 >> Key.right
2022-11-09 14:47:41,467 >> Key.backspace
2022-11-09 14:47:41,689 >> Key.backspace
2022-11-09 14:47:41,689 >> Key.backspace
2022-11-09 14:47:41,859 >> Key.ctrl_l
2022-11-09 14:47:41,859 >> Key.ctrl_l
2022-11-09 14:47:41,859 >> Key.backspace
2022-11-09 14:47:41,867 >> Key.backspace
2022-11-09 14:47:42,012 >> Key.backspace
2022-11-09 14:47:42,012 >> Key.backspace
2022-11-09 14:47:42,162 >> Key.backspace
2022-11-09 14:47:42,162 >> Key.backspace
2022-11-09 14:47:42,412 >> Key.ctrl_l
2022-11-09 14:47:42,412 >> Key.ctrl_l
2022-11-09 14:47:43,301 >> 't'
2022-11-09 14:47:43,301 >> 't'
2022-11-09 14:47:43,378 >> 'o'
2022-11-09 14:47:43,378 >> 'o'
2022-11-09 14:47:43,510 >> Key.enter
2022-11-09 14:47:51,144 >> 'n'
2022-11-09 14:47:51,144 >> 'n'
2022-11-09 14:47:51,221 >> 'e'
2022-11-09 14:47:51,221 >> 'e'
2022-11-09 14:47:51,368 >> 't'
2022-11-09 14:47:51,368 >> 't'
2022-11-09 14:47:51,591 >> 'f'
2022-11-09 14:47:51,591 >> 'f'
2022-11-09 14:47:52,074 >> Key.backspace
2022-11-09 14:47:52,202 >> 'c'
2022-11-09 14:47:52,202 >> 'c'
2022-11-09 14:47:52,420 >> 'a'
2022-11-09 14:47:52,420 >> 'a'
2022-11-09 14:47:52,901 >> 't'
2022-11-09 14:47:52,901 >> 't'
2022-11-09 14:47:53,097 >> Key.enter
2022-11-09 14:47:53,097 >> Key.enter
2022-11-09 14:48:27,543 >> 'k'
2022-11-09 14:48:27,543 >> 'k'
2022-11-09 14:48:27,655 >> 'e'
2022-11-09 14:48:27,655 >> 'e'
2022-11-09 14:48:28,694 >> Key.backspace
2022-11-09 14:48:28,694 >> Key.backspace
2022-11-09 14:48:28,846 >> Key.backspace
2022-11-09 14:48:28,991 >> Key.backspace
2022-11-09 14:48:29,666 >> 'r'
2022-11-09 14:48:29,666 >> 'r'
2022-11-09 14:48:29,753 >> 'e'
2022-11-09 14:48:29,753 >> 'e'
2022-11-09 14:48:30,009 >> 'v'
2022-11-09 14:48:30,009 >> 'v'
2022-11-09 14:48:30,224 >> 'e'
2022-11-09 14:48:30,224 >> 'e'
2022-11-09 14:48:30,248 >> 'r'
2022-11-09 14:48:30,248 >> 'r'
2022-11-09 14:48:30,472 >> 's'
2022-11-09 14:48:30,472 >> 's'
2022-11-09 14:48:30,642 >> 'e'
2022-11-09 14:48:30,642 >> 'e'
2022-11-09 14:48:31,328 >> 's'
2022-11-09 14:48:31,336 >> 's'
